.ac.uk,Academia
.edu,Academia
.gov,Government
.gov.uk,Government
.mil,Defence
.mod.uk,Defence
.nhs.net,Health
.nhs.uk,Health
.sch.uk,Academia
bankofengland.co.uk,Finance
bankofscotland,Finance
bankofscotland.co.uk,Finance
bankofscotland.com,Finance
barclays,Finance
bba.org.uk,Finance
bbc,Communications
bt.com,Communications
carphonewarehouse,Communications
channel4,Communications
co-operativebank,Finance
college,Academia
council,Government
ee.co.uk,Communications
ee.com,Communications
firstdirect,Finance
halifax.co.uk,Finance
hmrc,Government
hsbc,Finance
itv,Communications
lloydsbank,Finance
lloydsbankinggroup,Finance
natwest,Finance
nhs,Health
o2,Communications
orange,Communications
paym.co.uk,Finance
paypal,Finance
rbs.co.uk,Finance
rbs.com,Finance
santander,Finance
sc.com, Finance
school,Academia
secure.worldpay.com,Finance
sky.com,Communications
smile.co.uk,Finance
talktalk,Communications
tescobank,Finance
three.,Communications
tiscali,Communications
tsb.co.uk,Finance
ulsterbank.co.uk,Finance
university,Academia
virgin,Communications
zen,Communications
